time,posx,posy,posz,rotx,roty,rotz,rotw
244.4784,0.3,0.2570669,10.5656,0.003512125,-0.005358414,0.0370719,0.9992921
244.4922,0.3,0.2865601,10.30594,0.01770293,-0.02693608,0.1877574,0.9816865
244.5061,0.3,0.3154511,10.04348,0.03038902,-0.04603789,0.3301874,0.9423022
244.5199,0.3,0.3432925,9.781947,0.04083513,-0.061578,0.4553322,0.8872504
244.5341,0.3,0.3710999,9.511799,0.04909614,-0.07364301,0.5624895,0.8220535
244.5477,0.3,0.3968616,9.252666,0.05463553,-0.08149853,0.6440341,0.7586785
244.5618,0.3,0.4226135,8.984474,0.05815355,-0.08613342,0.7053933,0.7011558
244.5757,0.3,0.44721,8.718753,0.05976145,-0.08771116,0.7460944,0.6573268
244.5896,0.3,0.4708839,8.453018,0.05983927,-0.08675471,0.7683711,0.6312676
244.6033,0.3,0.4933951,8.190515,0.05659796,-0.08040177,0.7734362,0.6262018
244.6172,0.3,0.5154399,7.923654,0.05096076,-0.0700516,0.7709306,0.6310006
244.6314,0.3,0.5369722,7.650996,0.04566438,-0.06006823,0.766362,0.6379623
244.6452,0.3,0.5569472,7.387019,0.04102458,-0.05102118,0.7612959,0.645091
244.6588,0.3,0.5759488,7.12467,0.03689844,-0.04274016,0.7561123,0.6520015
244.6729,0.3,0.5946684,6.853614,0.03322654,-0.03490049,0.7508532,0.6587089
244.6867,0.3,0.6122333,6.586638,0.03017939,-0.02788844,0.7457054,0.6650075
244.7005,0.3,0.628827,6.32369,0.0277103,-0.02168357,0.740748,0.6708609
244.7145,0.3,0.6448736,6.05722,0.02580974,-0.01610906,0.7359856,0.6763132
244.7282,0.3,0.6596493,5.797585,0.02457096,-0.01131569,0.7315449,0.6812565
244.7423,0.3,0.6740359,5.527713,0.02383174,-0.007075352,0.7273978,0.6857657
244.7561,0.3,0.6871859,5.261641,0.02358693,-0.003619359,0.7236423,0.6897626
244.7698,0.3,0.6994571,4.995189,0.02392602,-0.0007031405,0.720301,0.6932486
244.784,0.3,0.7112459,4.718134,0.02495376,0.001894855,0.7173669,0.696246
244.7979,0.3,0.721904,4.445961,0.02681112,0.004244269,0.7148814,0.6987186
244.8115,0.3,0.7315298,4.176491,0.02936761,0.00622128,0.7128487,0.7006751
244.8257,0.3,0.7406173,3.901073,0.03217154,0.007367971,0.7112547,0.7021592
244.8391,0.3,0.7484209,3.641237,0.03545637,0.008194012,0.7100917,0.7031683
244.8534,0.3,0.7558603,3.36295,0.04034965,0.009513648,0.7093273,0.7036592
244.8671,0.3,0.7620898,3.098523,0.04598165,0.01084069,0.7089134,0.7037116
244.8809,0.3,0.7675114,2.830804,0.05286545,0.01249792,0.7087835,0.7033314
244.8953,0.3,0.7722816,2.546671,0.0615681,0.01444989,0.708843,0.7025257
244.9088,0.3,0.7758991,2.282205,0.07229142,0.01726662,0.7089591,0.7013222
244.9226,0.3,0.7787423,2.012387,0.08691597,0.02148398,0.7088832,0.6996204
244.9368,0.3,0.7807772,1.734476,0.107188,0.02744059,0.7082207,0.697267
