time,posx,posy,posz,rotx,roty,rotz,rotw
262.1392,-0.3,0.2720182,10.43358,-0.001166403,-0.01823336,0.01315536,0.9997466
262.1531,-0.3,0.3013997,10.16907,-0.002630236,-0.04148648,0.03054862,0.9986685
262.1672,-0.3,0.3301561,9.901993,-0.003901107,-0.06227087,0.0471948,0.9969352
262.1808,-0.3,0.3571906,9.642761,-0.004889471,-0.07928517,0.06193984,0.9949138
262.1946,-0.3,0.3838539,9.378585,-0.005612456,-0.0930244,0.07495418,0.9928227
262.2085,-0.3,0.4096533,9.114251,-0.006027217,-0.1029208,0.08567717,0.9909745
262.2225,-0.3,0.4349128,8.846437,-0.006123128,-0.1089608,0.09387507,0.9895846
262.2366,-0.3,0.4592854,8.578777,-0.005894349,-0.1110717,0.09923503,0.9888279
262.2504,-0.3,0.4823704,8.315875,-0.005363795,-0.1095362,0.1016317,0.9887589
262.2641,-0.3,0.5045028,8.054296,-0.003979736,-0.09758214,0.09585143,0.990593
262.2779,-0.3,0.5258792,7.791042,-0.002584126,-0.08616527,0.08812591,0.9923723
262.2919,-0.3,0.546755,7.522686,-0.001194811,-0.07542039,0.07990117,0.9939448
262.306,-0.3,0.5668288,7.252728,0.0001618796,-0.0655957,0.07166433,0.9952695
262.3198,-0.3,0.5855214,6.98941,0.001450655,-0.05700625,0.06374288,0.9963358
262.3338,-0.3,0.6037523,6.720078,0.002734232,-0.04925329,0.05605526,0.9972084
262.3478,-0.3,0.6210228,6.451645,0.00398745,-0.04260274,0.04873177,0.9978949
262.3615,-0.3,0.6370658,6.188895,0.005199022,-0.03715123,0.04190521,0.9984171
262.3756,-0.3,0.652795,5.916412,0.006435727,-0.0326017,0.03547564,0.9988179
262.3895,-0.3,0.667374,5.648394,0.007656646,-0.02919696,0.02958172,0.9991065
262.4032,-0.3,0.6808486,5.384544,0.008871656,-0.02686808,0.02428382,0.9993047
262.417,-0.3,0.6935911,5.117959,0.01013514,-0.02550151,0.01956782,0.9994319
262.4308,-0.3,0.7054774,4.850974,0.011455,-0.0251072,0.01545158,0.9994997
262.4446,-0.3,0.7165545,4.582477,0.01285687,-0.0256808,0.01194397,0.9995162
262.4586,-0.3,0.7268108,4.31266,0.01438611,-0.02719478,0.009051947,0.9994857
262.4725,-0.3,0.7362349,4.041209,0.01607478,-0.02968128,0.006774627,0.9994072
262.4864,-0.3,0.7447092,3.771913,0.01795498,-0.03312657,0.005101281,0.9992769
262.5003,-0.3,0.7523512,3.501145,0.02012432,-0.03760555,0.004008165,0.999082
262.5141,-0.3,0.7590663,3.232367,0.02263751,-0.04313927,0.003454276,0.9988066
262.528,-0.3,0.7649492,2.962192,0.0256545,-0.04995108,0.003390396,0.9984164
262.5418,-0.3,0.7699683,2.691936,0.02935853,-0.05835648,0.003748486,0.997857
262.5559,-0.3,0.7741891,2.416685,0.03409424,-0.0689751,0.004450067,0.9970257
262.5698,-0.3,0.7774654,2.145807,0.04013038,-0.08226306,0.005374553,0.9957879
