time,posx,posy,posz,rotx,roty,rotz,rotw
245.6307,-0.3,0.2535783,10.59584,0.002843246,0.0004188446,-0.00577823,0.9999792
245.6449,-0.3,0.2842049,10.32755,0.02678732,0.003918979,-0.05459432,0.9981415
245.659,-0.3,0.3134162,10.06369,0.04829635,0.007028391,-0.1013142,0.9936566
245.6728,-0.3,0.3414408,9.80241,0.06679183,0.009651569,-0.1443743,0.9872192
245.6869,-0.3,0.3690136,9.536379,0.08215341,0.0117395,-0.1832355,0.97956
245.7004,-0.3,0.3947276,9.279673,0.09337562,0.01316021,-0.2152651,0.9719922
245.7143,-0.3,0.4202767,9.015855,0.1011463,0.01396439,-0.241259,0.9650744
245.7283,-0.3,0.4449543,8.752189,0.1051852,0.01411842,-0.2601032,0.9597307
245.7421,-0.3,0.4685555,8.490699,0.1056904,0.01363927,-0.2713491,0.9565632
245.7562,-0.3,0.4918434,8.222519,-0.09965441,-0.01195982,0.2783551,-0.9552196
245.7698,-0.3,0.5134267,7.963742,-0.08855465,-0.009381727,0.2871676,-0.9537321
245.7837,-0.3,0.5346321,7.698206,-0.07797786,-0.006835594,0.2962117,-0.9519093
245.7974,-0.3,0.5546168,7.436531,-0.06841863,-0.004416249,0.3049886,-0.949885
245.8114,-0.3,0.5741782,7.169274,-0.0595522,-0.002036653,0.3135737,-0.9476924
245.8254,-0.3,0.5929401,6.902111,-0.05161738,0.0002565825,0.3218334,-0.9453882
245.8393,-0.3,0.6106257,6.63846,-0.04474769,0.002446054,0.3296305,-0.9430459
245.8531,-0.3,0.6274077,6.374597,-0.03886758,0.004564872,0.3369398,-0.9407126
245.867,-0.3,0.6433259,6.108609,-0.03397254,0.006663695,0.3437357,-0.9384281
245.8809,-0.3,0.6584126,5.840472,-0.03007611,0.008765655,0.3499921,-0.9362287
245.8952,-0.3,0.6730251,5.564177,-0.02710226,0.01092554,0.3557378,-0.9341289
245.9088,-0.3,0.6860966,5.302302,-0.02521753,0.0129379,0.360805,-0.9322106
245.9227,-0.3,0.6985728,5.036073,-0.02421517,0.01503168,0.365257,-0.9304703
245.9365,-0.3,0.7101815,4.770182,-0.02416192,0.01733539,0.3690756,-0.9289235
245.9505,-0.3,0.7209678,4.501865,-0.02497364,0.01984483,0.3722566,-0.9275815
245.9644,-0.3,0.7308374,4.232321,-0.02663038,0.02266066,0.3747953,-0.926448
245.978,-0.3,0.7396698,3.966977,-0.02905457,0.02571124,0.3767028,-0.9255214
245.9919,-0.3,0.7478384,3.695026,-0.03235728,0.0292834,0.3780007,-0.9247762
246.006,-0.3,0.7552257,3.419797,-0.03664711,0.03351977,0.378709,-0.9241823
246.0198,-0.3,0.7616006,3.150699,-0.0418607,0.03838626,0.3788767,-0.9237027
246.0337,-0.3,0.7671267,2.880679,-0.04819363,0.04410889,0.3785512,-0.9232718
246.0473,-0.3,0.7717144,2.615093,-0.05567488,0.05091774,0.3778093,-0.9228044
246.0612,-0.3,0.7755356,2.345177,-0.06513799,0.05970452,0.3766795,-0.9221199
246.0754,-0.3,0.7785555,2.068566,-0.07772896,0.07169272,0.3751672,-0.9209061
246.0891,-0.3,0.7805899,1.802601,-0.09379472,0.08743366,0.3733242,-0.9187965
