time,posx,posy,posz,rotx,roty,rotz,rotw
187.5959,-0.3,0.2615684,10.52559,0.009050859,-0.002198644,0.007577517,0.9999279
187.6095,-0.3,0.2906442,10.26606,0.03112383,-0.007599386,0.0263311,0.9991398
187.6236,-0.3,0.3198188,9.997163,0.0516356,-0.01270443,0.04492794,0.997574
187.6375,-0.3,0.3476182,9.73271,0.06890584,-0.01711227,0.0618322,0.9955581
187.6509,-0.3,0.3738832,9.475027,0.08255799,-0.02073475,0.07650176,0.9934293
187.6647,-0.3,0.3997543,9.213652,0.09296243,-0.02367956,0.08906954,0.9913949
187.6788,-0.3,0.4255991,8.943542,0.09989753,-0.02589222,0.09924618,0.9896971
187.6926,-0.3,0.4498539,8.680099,0.1029489,-0.0272493,0.1062956,0.9886154
187.7066,-0.3,0.4735597,8.412329,0.1025039,-0.02785944,0.1102171,0.9882151
187.7202,-0.3,0.4958987,8.15003,0.09445164,-0.02675692,0.1071194,0.9893879
187.7342,-0.3,0.5178693,7.881289,0.083028,-0.02493157,0.09920898,0.9912832
187.7483,-0.3,0.5391433,7.60947,0.07230771,-0.02330692,0.09010122,0.9930308
187.7624,-0.3,0.5595248,7.336795,0.06243905,-0.02191393,0.08083766,0.9945283
187.7763,-0.3,0.5788486,7.066331,0.05355465,-0.02077793,0.07180586,0.9957631
187.7901,-0.3,0.5970787,6.799379,0.0456981,-0.01992571,0.06317962,0.9967563
187.8042,-0.3,0.6148273,6.527092,0.03862133,-0.01937366,0.05489727,0.9975567
187.8178,-0.3,0.6311126,6.264276,0.03270863,-0.01915875,0.04721937,0.9981651
187.8315,-0.3,0.6466824,5.999048,0.02765193,-0.01926533,0.04008988,0.9986276
187.8458,-0.3,0.6619297,5.723265,0.02335378,-0.0197231,0.03344306,0.9989731
187.8595,-0.3,0.6758345,5.455224,0.02010079,-0.02056149,0.0274671,0.9992091
187.8732,-0.3,0.6887592,5.189323,0.01771808,-0.0217865,0.02217587,0.9993597
187.8873,-0.3,0.7012767,4.913583,0.01608917,-0.02356142,0.01751076,0.9994395
187.9008,-0.3,0.7123386,4.651501,0.01531261,-0.02573958,0.01356941,0.9994593
187.9149,-0.3,0.7231113,4.376797,0.01525726,-0.02870389,0.01028243,0.9994186
187.9289,-0.3,0.7328293,4.107274,0.01595172,-0.03240308,0.007674942,0.9993181
187.9426,-0.3,0.7415265,3.841715,0.01725694,-0.03682172,0.005726034,0.9991565
187.9564,-0.3,0.749447,3.572613,0.01914881,-0.04218152,0.004399025,0.9989168
187.9703,-0.3,0.7565607,3.300509,0.0216309,-0.04861732,0.003652223,0.9985766
187.9848,-0.3,0.7630378,3.016654,0.02481279,-0.05660487,0.003443704,0.9980823
187.9983,-0.3,0.7682279,2.751251,0.02839917,-0.06576247,0.00365353,0.9974244
188.012,-0.3,0.7726688,2.480794,0.03280368,-0.07730671,0.004203784,0.9964587
188.0258,-0.3,0.7762768,2.207557,0.03825861,-0.09193852,0.004981186,0.995017
188.0397,-0.3,0.77904,1.932432,0.04518777,-0.1110854,0.005843958,0.9927658
188.0536,-0.3,0.7809287,1.658323,0.05434259,-0.137229,0.006627311,0.9890254
188.0678,-0.3,0.78196,1.379966,0.06757768,-0.1758171,0.007208351,0.9820742
188.0816,-0.3,0.7820995,1.105858,0.06757768,-0.1758171,0.007208351,0.9820742
