time,posx,posy,posz,rotx,roty,rotz,rotw
182.0556,-0.2995073,0.2734997,10.56018,-0.008750524,0.003730441,-0.05448808,0.9984692
182.0694,-0.2878616,0.3826095,10.29645,-0.04134669,0.01760852,-0.2596338,0.9646609
182.0834,-0.2603883,0.5161409,10.0297,-0.06894659,0.02957722,-0.4483052,0.8907267
182.0974,-0.2170137,0.6674013,9.762162,-0.08991822,0.03892749,-0.6072783,0.788424
182.1111,-0.1588052,0.824956,9.498411,-0.1038444,0.04541752,-0.7297372,0.6742679
182.1251,-0.08386547,0.9838263,9.229812,-0.1120267,0.04947389,-0.8192048,0.5602731
182.1391,0.006644476,1.130619,8.961579,-0.1155683,0.05142168,-0.8782725,0.4611262
182.1529,0.1121945,1.256,8.69504,-0.1160297,0.05179012,-0.9133167,0.3869207
182.1666,0.2316248,1.353205,8.432117,-0.1147329,0.0510927,-0.9307063,0.3435284
182.1806,0.3658929,1.421864,8.162801,0.1076912,-0.04757274,0.9359308,-0.331923
182.1949,0.4908593,1.459687,7.887083,0.09616721,-0.04198596,0.9370399,-0.3330846
182.2084,0.5935181,1.468925,7.626547,0.0863786,-0.03728662,0.9367385,-0.3371491
182.2225,0.6851749,1.45796,7.352405,0.07726508,-0.03298993,0.9359527,-0.3419566
182.2362,0.7580378,1.436221,7.087327,0.06961083,-0.02946479,0.9349385,-0.3466643
182.2499,0.816369,1.412973,6.819493,0.06297285,-0.02644632,0.9338247,-0.3511503
182.2642,0.8606784,1.397801,6.542094,0.05710341,-0.02377052,0.9326558,-0.3554258
182.2778,0.8875709,1.400246,6.277753,0.0524164,-0.02155124,0.931495,-0.3593123
182.292,0.8995516,1.426554,6.003274,0.048495,-0.01945514,0.9303557,-0.3629161
182.3057,0.9,1.469845,5.736724,0.04564023,-0.01763305,0.9292679,-0.3661518
182.3195,0.9,1.511475,5.469366,0.04398977,-0.01627266,0.9282368,-0.369021
182.3333,0.9,1.550482,5.201867,0.0436288,-0.01540231,0.927271,-0.371521
182.3471,0.9,1.587273,4.932079,0.0445209,-0.0149707,0.9263751,-0.3736616
182.361,0.9,1.621454,4.663225,0.04664622,-0.0149662,0.9255515,-0.3754392
182.3749,0.9,1.6532,4.393356,0.05007599,-0.01539322,0.9247906,-0.3768527
182.3887,0.9,1.682019,4.126973,0.05477273,-0.01623946,0.924081,-0.3779028
182.4022,0.9,1.707976,3.864356,0.06055915,-0.01740425,0.9234095,-0.3786089
182.4162,0.9,1.732072,3.593855,0.06792828,-0.01899157,0.9227222,-0.3789576
182.4301,0.9,1.753526,3.323552,0.07702355,-0.0210135,0.9219675,-0.3789482
182.4439,0.9,1.772318,3.0538,0.08804522,-0.02351388,0.9210725,-0.3785772
182.4578,0.9,1.788647,2.781796,0.1014795,-0.02661139,0.9199164,-0.3778195
182.4719,0.9,1.802528,2.506047,0.118061,-0.03044785,0.9183063,-0.3766273
182.4859,0.9,1.813665,2.232453,0.1384029,-0.03508903,0.9159827,-0.3749523
182.5,0.9,1.822227,1.957229,0.1643514,-0.04094432,0.9124075,-0.3725921
182.5137,0.9,1.828031,1.68802,0.1976878,-0.04837615,0.9067729,-0.3692455
182.5281,0.9,1.831429,1.403181,0.246322,-0.0591757,0.8964635,-0.3635615
