time,posx,posy,posz,rotx,roty,rotz,rotw
170.296,-0.8930213,0.3469568,10.37521,-0.0008509216,-0.009701952,0.1013053,0.9948077
170.3098,-0.8705824,0.4725947,10.11024,-0.001922675,-0.01910021,0.2033323,0.9789216
170.3241,-0.8312434,0.6221499,9.836835,-0.003179607,-0.02746937,0.2996713,0.9536417
170.3375,-0.7789265,0.7746548,9.578209,-0.00445672,-0.03383027,0.3803104,0.9242292
170.3511,-0.7109778,0.9309136,9.316329,-0.005655641,-0.03855818,0.4483829,0.8929916
170.3652,-0.6248041,1.084308,9.045462,-0.006648581,-0.04156557,0.5035192,0.862958
170.3792,-0.5235681,1.218234,8.777302,-0.007232021,-0.04267175,0.5430434,0.8385885
170.3932,-0.4063714,1.326652,8.508843,-0.007245309,-0.04201241,0.5672007,0.8224754
170.4072,-0.2731605,1.404993,8.238249,-0.006469858,-0.03904417,0.5782483,0.8149004
170.421,-0.1482106,1.450742,7.973215,-0.00490862,-0.03305888,0.5895762,0.8070211
170.435,-0.03623228,1.468495,7.701687,-0.003053209,-0.02701739,0.6009554,0.79882
170.4488,0.05776878,1.463211,7.435798,-0.001009042,-0.0212779,0.6119263,0.790628
170.4625,0.1361564,1.443851,7.170116,0.001203263,-0.0158122,0.6224524,0.782497
170.4764,0.2000693,1.419664,6.900348,0.003553043,-0.01058655,0.6325774,0.7744167
170.4904,0.2484826,1.40101,6.628886,0.005928475,-0.005705368,0.6422076,0.7664867
170.5043,0.2808416,1.397307,6.358831,0.00816879,-0.001262429,0.6512145,0.7588487
170.518,0.297387,1.414897,6.092516,0.01011567,0.002707952,0.659504,0.7516281
170.5319,0.3,1.4555,5.822423,0.01169755,0.006299978,0.6671317,0.7448213
170.5459,0.3,1.498519,5.550967,0.01326787,0.009730821,0.6740575,0.7384956
170.5598,0.3,1.538674,5.281253,0.01495517,0.01307186,0.680227,0.7327324
170.5737,0.3,1.576375,5.00981,0.01673862,0.01635081,0.6856369,0.7275676
170.5874,0.3,1.611002,4.741552,0.01859907,0.01957688,0.690262,0.7230554
170.6011,0.3,1.643009,4.47438,0.02067056,0.02289375,0.694114,0.7192041
170.6151,0.3,1.673271,4.199512,0.0230241,0.02647854,0.6972197,0.7159984
170.6294,0.3,1.701297,3.91983,0.02568562,0.03043507,0.6995809,0.7134427
170.643,0.3,1.725577,3.651694,0.02863313,0.03466881,0.7012157,0.7115299
170.6567,0.3,1.74746,3.382172,0.03209068,0.03956406,0.7021528,0.7102017
170.6706,0.3,1.767133,3.107272,0.03626144,0.04542539,0.7024165,0.709389
170.6846,0.3,1.784227,2.832146,0.04131712,0.05253086,0.7020429,0.7089916
170.6983,0.3,1.798501,2.561977,0.04746905,0.06114409,0.7010818,0.708867
170.7125,0.3,1.810596,2.28408,0.05564467,0.0724817,0.6994897,0.7087767
170.7264,0.3,1.819886,2.010491,0.06616977,0.08713102,0.6972712,0.7084085
170.7404,0.3,1.826591,1.735491,0.08044323,0.1070566,0.6942217,0.7071945
170.7542,0.3,1.830638,1.463578,0.1003987,0.134853,0.6898262,0.7041836
