time,posx,posy,posz,rotx,roty,rotz,rotw
187.8102,-0.3,0.2726744,10.14933,-0.0160068,0.004806451,-0.01441742,0.9997564
187.8239,-0.3,0.3038563,9.880322,-0.03687552,0.01102842,-0.03397142,0.9986814
187.8379,-0.3,0.334849,9.603613,-0.05544852,0.0165004,-0.05278624,0.9969287
187.8516,-0.3,0.3640353,9.333635,-0.07014059,0.02073927,-0.06921511,0.9949168
187.8654,-0.3,0.3924845,9.061012,-0.08115416,0.02379127,-0.08320364,0.9929377
187.8793,-0.3,0.4201697,8.785625,-0.0881791,0.02554655,-0.09428383,0.9913034
187.8932,-0.3,0.446835,8.509893,-0.09108672,0.02595978,-0.1020236,0.9902629
187.9071,-0.3,0.4724801,8.233877,-0.09003825,0.0250781,-0.1062088,0.9899414
187.9213,-0.3,0.497528,7.952544,-0.08060387,0.02147948,-0.102613,0.9912176
187.9348,-0.3,0.5205075,7.682762,-0.06842617,0.0169472,-0.09446102,0.9930296
187.949,-0.3,0.5434886,7.400171,-0.05654055,0.01238565,-0.08505024,0.9946941
187.9626,-0.3,0.564675,7.126988,-0.04592754,0.008165841,-0.07573044,0.9960366
187.9766,-0.3,0.5852287,6.848326,-0.03603388,0.004074614,-0.06658687,0.9971215
187.9906,-0.3,0.6049291,6.566895,-0.02700564,0.0001613046,-0.05777403,0.9979643
188.0045,-0.3,0.6234337,6.287551,-0.01900804,-0.00351573,-0.04947448,0.9985883
188.0188,-0.3,0.6413646,6.000487,-0.01176387,-0.007103492,-0.04164677,0.9990379
188.0326,-0.3,0.6576624,5.723079,-0.005668116,-0.0104274,-0.03454101,0.9993328
188.0466,-0.3,0.6732196,5.440593,-0.0003164225,-0.01369086,-0.02809397,0.9995115
188.0601,-0.3,0.6871291,5.170204,0.004056907,-0.01673885,-0.02245013,0.9995996
188.0741,-0.3,0.7006554,4.887586,0.007946736,-0.01989407,-0.01749283,0.9996175
188.0878,-0.3,0.7128311,4.611947,0.01115095,-0.02302748,-0.01330377,0.9995841
188.1016,-0.3,0.7241176,4.333162,0.01391075,-0.02633758,-0.009861477,0.9995077
188.1154,-0.3,0.7344018,4.053475,0.01633442,-0.02989481,-0.007157375,0.999394
188.1293,-0.3,0.7437615,3.770793,0.01862033,-0.03392946,-0.005165977,0.9992374
188.1434,-0.3,0.7522383,3.482255,0.02095363,-0.03867345,-0.003854025,0.9990247
188.1571,-0.3,0.7594206,3.203208,0.02343242,-0.04418864,-0.00315467,0.9987434
188.1709,-0.3,0.7656692,2.921083,0.02639256,-0.05098546,-0.002983033,0.9983461
188.1846,-0.3,0.7708735,2.643178,0.03024946,-0.05942253,-0.003214196,0.9977694
188.1986,-0.3,0.7751927,2.358519,0.03561046,-0.07084247,-0.003710052,0.9968448
188.2126,-0.3,0.7784739,2.075446,0.04324209,-0.08662542,-0.004261572,0.995293
