time,posx,posy,posz,rotx,roty,rotz,rotw
146.9293,0.3,0.2563623,6.888194,-0.0008819554,0.006483393,0.04118888,0.99913
146.9405,0.3,0.2874702,6.740652,-0.005006623,0.03725088,0.2375931,0.9706373
146.9511,0.3,0.3164757,6.600246,-0.008147292,0.06313985,0.4130738,0.9084696
146.962,0.3,0.3455683,6.456494,-0.01050414,0.08502911,0.5711582,0.8163566
146.9739,0.3,0.3767397,6.298968,-0.01207836,0.1029654,0.7124231,0.6940501
146.9853,0.3,0.405572,6.149781,-0.01261604,0.1139348,0.8156214,0.5671169
146.9967,0.3,0.4338244,6.000088,-0.01244578,0.1198459,0.8888484,0.4420753
147.0074,0.3,0.459669,5.859887,-0.01180024,0.1215335,0.9347763,0.3335921
147.0179,0.3,0.4842266,5.723597,-0.01087937,0.1206595,0.9623012,0.2435147
147.0289,0.3,0.5094801,5.580202,-0.009700322,0.1180651,0.9782069,0.1705225
147.0412,0.3,0.5369942,5.419749,-0.008196351,0.1140652,0.9863932,0.1181119
147.0511,0.3,0.558253,5.292592,-0.006954769,0.1103635,0.9892564,0.095621
147.0632,0.3,0.5837746,5.135907,-0.004093861,0.09863031,0.9913718,0.08623991
147.0728,0.3,0.6032594,5.013141,-0.001737291,0.08906683,0.9927998,0.08007877
147.0848,0.3,0.6271714,4.858394,0.001237512,0.07755796,0.9942308,0.07408377
147.0964,0.3,0.6492258,4.710994,0.004042432,0.06713076,0.9954,0.06823488
147.1083,0.3,0.6712467,4.559118,0.00688159,0.05696332,0.9964001,0.06240857
147.1194,0.3,0.6909163,4.418676,0.009461937,0.04811966,0.997175,0.05689403
147.1299,0.3,0.7090712,4.284696,0.01188198,0.04020113,0.9977807,0.05173233
147.1408,0.3,0.7270925,4.146923,0.01433985,0.03261311,0.998271,0.04675285
147.152,0.3,0.7450671,4.004269,0.01685692,0.02534179,0.9986591,0.04187688
147.1641,0.3,0.7634677,3.852271,0.0195129,0.01823731,0.9989569,0.03703766
147.175,0.3,0.7795653,3.713702,0.02190604,0.01230757,0.9991549,0.03252954
147.1861,0.3,0.7950639,3.574463,0.02429059,0.006889195,0.9992796,0.02833453
147.1965,0.3,0.8089918,3.4438,0.02653061,0.002270532,0.9993447,0.02451916
147.2076,0.3,0.8232279,3.303878,0.0289485,-0.002175131,0.9993587,0.02096223
147.2193,0.3,0.8374535,3.156605,0.03153149,-0.00633649,0.9993272,0.01762979
147.23,0.3,0.8498803,3.020944,0.03395053,-0.009761641,0.9992687,0.01464018
147.241,0.3,0.8618451,2.883151,0.0365012,-0.01286724,0.9991789,0.01198502
147.2527,0.3,0.8738915,2.735445,0.03933889,-0.01581413,0.9990544,0.00963085
147.2641,0.3,0.8848206,2.592487,0.04223498,-0.01836975,0.9989098,0.007608898
147.2749,0.3,0.8945704,2.456208,0.04516358,-0.02058762,0.9987499,0.005936232
147.2857,0.3,0.9036069,2.320635,0.04830216,-0.02263756,0.9985656,0.004604557
147.2971,0.3,0.9124648,2.17712,0.05194777,-0.0247048,0.9983377,0.003605403
147.3076,0.3,0.9199615,2.045303,0.05559385,-0.02659235,0.998095,0.00291634
147.3193,0.3,0.9275747,1.898723,0.06008636,-0.02875269,0.9977757,0.002552048
147.3308,0.3,0.9343138,1.754921,0.06509641,-0.03105985,0.9973924,0.002487021
147.3405,0.3,0.9394314,1.63346,0.06986281,-0.03324082,0.9969991,0.002648484
147.3518,0.3,0.9446955,1.49299,0.0762214,-0.0361508,0.9964306,0.003072007
147.3629,0.3,0.9491818,1.354607,0.08353472,-0.03955121,0.9957128,0.003704373
147.3748,0.3,0.9531811,1.208047,0.09263867,-0.0439302,0.9947199,0.004526239
147.3857,0.3,0.9561604,1.073414,0.102553,-0.04890314,0.9935098,0.005440691
147.3968,0.3,0.9585122,0.936406,0.1146876,-0.05520923,0.9918456,0.006397715
147.4081,0.3,0.9601763,0.7982477,0.1296036,-0.06323014,0.9895208,0.007306225
