time,posx,posy,posz,rotx,roty,rotz,rotw
254.7438,-0.3,0.3064637,9.738032,0.006586284,0.01970517,0.1599642,0.9869041
254.7576,-0.3,0.4003291,9.478863,0.01645397,0.04943035,0.4104705,0.9103845
254.7717,-0.3,0.4935869,9.212717,0.02384183,0.0724926,0.6262507,0.7758779
254.7854,-0.3,0.5806493,8.955709,0.02798786,0.08672547,0.7821786,0.6163538
254.7992,-0.3,0.6655223,8.696369,0.02954984,0.09395183,0.8858522,0.4533937
254.8135,-0.3,0.7502599,8.42749,0.02912911,0.09584582,0.9466825,0.3061983
254.8276,-0.3,0.8311194,8.160411,0.02747775,0.09434324,0.975569,0.1964931
254.8411,-0.3,0.9048958,7.906663,0.02540936,0.0914272,0.9863704,0.1344201
254.8549,-0.3,0.977744,7.645715,0.02182838,0.08348801,0.9900616,0.111047
254.8688,-0.3,1.048217,7.382523,0.01701174,0.07145212,0.9925197,0.09751805
254.8827,-0.3,1.115658,7.119257,0.01238969,0.06023583,0.9943382,0.08665825
254.8966,-0.3,1.180066,6.855625,0.007964426,0.04994941,0.995767,0.07674446
254.9105,-0.3,1.24144,6.591443,0.003741562,0.04065219,0.9968917,0.06738215
254.9243,-0.3,1.299284,6.329057,-0.0002391106,0.03245245,0.9977564,0.05855812
254.9386,-0.3,1.356035,6.056998,-0.004161695,0.02504141,0.9984211,0.05011055
254.9525,-0.3,1.408258,5.791572,-0.007816575,0.01888157,0.9988955,0.04231066
254.9661,-0.3,1.456193,5.532837,-0.01125472,0.01387681,0.9992189,0.03524702
254.98,-0.3,1.50243,5.266315,-0.01464356,0.009723267,0.9994302,0.02881414
254.9939,-0.3,1.545635,4.999166,-0.01795368,0.006525563,0.9995511,0.02308012
255.0077,-0.3,1.585467,4.733617,-0.02122885,0.004238993,0.9996019,0.01809476
255.0219,-0.3,1.623257,4.460689,-0.02469426,0.002728361,0.9995955,0.01383847
255.0356,-0.3,1.657051,4.194624,-0.02824287,0.001999189,0.9995454,0.01036122
255.0496,-0.3,1.688124,3.925985,-0.0320766,0.00192109,0.9994544,0.007639821
255.0635,-0.3,1.716164,3.656759,-0.03633801,0.00242564,0.9993206,0.005652329
255.0771,-0.3,1.740759,3.391652,-0.04110635,0.00339829,0.9991395,0.004353043
255.0909,-0.3,1.762607,3.123904,-0.04674168,0.004762372,0.9988889,0.003682865
255.105,-0.3,1.781782,2.850905,-0.05363715,0.00646277,0.9985332,0.003570275
255.1191,-0.3,1.797998,2.574728,-0.06217803,0.008449185,0.9980217,0.003913782
255.1329,-0.3,1.810774,2.304949,-0.0728007,0.01064383,0.9972793,0.004563977
255.147,-0.3,1.820717,2.029949,-0.08716648,0.01317624,0.9960922,0.005361541
