time,posx,posy,posz,rotx,roty,rotz,rotw
171.8668,-0.9,0.2725231,11.16812,-0.004891557,-0.006233062,-0.05694268,0.998346
171.8804,-0.9,0.3657892,10.87087,-0.02411519,-0.03096189,-0.2839741,0.9580285
171.8943,-0.9,0.4585831,10.56535,-0.0397194,-0.05201156,-0.4923401,0.8679392
171.9082,-0.9,0.5483441,10.25966,-0.05025566,-0.06730162,-0.6614213,0.7452964
171.9225,-0.9,0.6373136,9.945782,-0.05595214,-0.07688216,-0.7881532,0.6080897
171.936,-0.9,0.7187676,9.647697,-0.05729531,-0.08093255,-0.8689839,0.4848032
171.95,-0.9,0.7994302,9.340944,-0.05583565,-0.08154717,-0.9181357,0.3837438
171.9639,-0.9,0.8770599,9.034073,-0.05245936,-0.07983374,-0.9436141,0.3169656
171.9778,-0.9,0.9516568,8.727175,0.04710479,0.0759988,0.9525633,-0.2909099
171.9916,-0.9,1.022606,8.422956,0.03652341,0.06646059,0.9532984,-0.2923547
172.0054,-0.9,1.090576,8.118457,0.02639009,0.05803763,0.9519264,-0.2996188
172.0195,-0.9,1.157251,7.805352,0.01642555,0.05033685,0.9498122,-0.3083071
172.0336,-0.9,1.220251,7.494557,0.006976395,0.04364691,0.9473869,-0.3170241
172.0474,-0.9,1.279149,7.188792,-0.001881595,0.03801819,0.9448366,-0.3253228
172.0613,-0.9,1.335549,6.879949,-0.01041005,0.03330952,0.9422213,-0.3331682
172.0752,-0.9,1.388916,6.570968,-0.01857013,0.02959416,0.939609,-0.3404619
172.0892,-0.9,1.439678,6.258953,-0.02647362,0.02685615,0.937044,-0.3471693
172.103,-0.9,1.486552,5.95153,-0.03398339,0.02517156,0.9346009,-0.3531751
172.1167,-0.9,1.53007,5.646812,-0.04131867,0.02447797,0.932311,-0.3584549
172.1304,-0.9,1.57066,5.343289,-0.04870649,0.02473281,0.9301854,-0.3630028
172.1444,-0.9,1.609293,5.032184,-0.05646948,0.02594765,0.9282118,-0.3668253
172.1582,-0.9,1.644246,4.726456,-0.06444712,0.02812092,0.9264165,-0.3698762
172.1722,-0.9,1.67676,4.413255,-0.07306596,0.03131415,0.9247645,-0.3721444
172.1864,-0.9,1.706429,4.096399,-0.0826174,0.03553162,0.9232131,-0.3736168
172.2002,-0.9,1.732311,3.787634,-0.09309299,0.04063726,0.9217191,-0.3743211
172.2142,-0.9,1.755593,3.472986,-0.1055008,0.04695532,0.9201254,-0.3742112
172.2279,-0.9,1.7753,3.166294,-0.1198828,0.0543445,0.9183066,-0.3733469
172.2418,-0.9,1.792353,2.853678,-0.1376199,0.06336164,0.9159345,-0.3716317
172.2555,-0.9,1.806153,2.545686,-0.1596023,0.07419347,0.9125999,-0.3690309
172.2693,-0.9,1.81711,2.235726,-0.1878068,0.08762744,0.907527,-0.365301
