time,posx,posy,posz,rotx,roty,rotz,rotw
272.7631,0.9,0.2548753,11.21653,-0.001064823,-0.001386349,0.02007521,0.9997969
272.7771,0.9,0.3212594,10.91222,-0.01496128,-0.01943293,0.2834749,0.958666
272.7906,0.9,0.3833324,10.61825,-0.02535081,-0.03386306,0.5105336,0.8588167
272.8046,0.9,0.4450359,10.31577,-0.03229086,-0.04468618,0.6964129,0.7155205
272.8185,0.9,0.5046651,10.01288,-0.03549772,-0.05147688,0.8290781,0.5556255
272.8323,0.9,0.5617241,9.712225,-0.03572784,-0.05492521,0.9120843,0.4047332
272.8467,0.9,0.6191323,9.398255,-0.0339151,-0.05603541,0.9585617,0.2772532
272.8602,0.9,0.6711063,9.102818,-0.03109423,-0.05579927,0.9789796,0.1936971
272.8741,0.9,0.722438,8.799139,-0.02765101,-0.05461556,0.9860269,0.1549306
272.8879,0.9,0.7712723,8.497267,-0.02035188,-0.04796909,0.9893849,0.1356552
272.9019,0.9,0.8184734,8.192151,-0.01308425,-0.0413922,0.9917072,0.1209643
272.916,0.9,0.8643733,7.881076,-0.005873027,-0.03516897,0.9935611,0.1075403
272.9301,0.9,0.9077575,7.572206,0.001084008,-0.02955511,0.9950504,0.09486842
272.9441,0.9,0.9490306,7.262695,0.00784605,-0.02453141,0.9962325,0.08281033
272.9579,0.9,0.9875299,6.958111,0.01431199,-0.02019267,0.9971327,0.0715108
272.9718,0.9,1.024305,6.651011,0.02072399,-0.01641951,0.9977936,0.06090229
272.9856,0.9,1.05871,6.346356,0.02700754,-0.01328278,0.9982391,0.05111717
272.9994,0.9,1.091076,6.041009,0.03326697,-0.01071507,0.998498,0.04219269
273.0132,0.9,1.121405,5.734819,0.03959379,-0.008700335,0.9985933,0.03417759
273.0271,0.9,1.149937,5.425855,0.04613186,-0.007205199,0.9985419,0.02709342
273.0411,0.9,1.176617,5.11383,0.05307601,-0.006196185,0.998351,0.02097368
273.0549,0.9,1.200777,4.807769,0.06039824,-0.005648128,0.9980321,0.01587616
273.0687,0.9,1.222899,4.501221,0.06841173,-0.005477039,0.9975726,0.01178132
273.0828,0.9,1.24332,4.188067,0.07758723,-0.005625344,0.9969321,0.008658167
273.0967,0.9,1.26148,3.876683,0.0879642,-0.006081256,0.996084,0.006477491
273.1102,0.9,1.277169,3.573097,0.09961411,-0.006775799,0.9949897,0.005159886
273.1238,0.9,1.290891,3.270291,0.1133755,-0.007680306,0.9935119,0.00460665
273.1378,0.9,1.303033,2.958334,0.1307992,-0.008849187,0.9913582,0.004722182
273.152,0.9,1.313143,2.642719,0.1530606,-0.01013728,0.9881505,0.0053231
273.1656,0.9,1.320865,2.33709,0.1807037,-0.01152062,0.9834507,0.006186299
273.1796,0.9,1.32667,2.026547,0.2176263,-0.01329616,0.9759158,0.007099775
